NAME,ENEMY_NAME,FLOOR_TAG,SKILL_PATTERN,ENEMY_HP,REWARD_CARD,FLOOR_INFO,MULTI_PHASE
TIL의 층 1F,장윤서 매니저,Malkuth,0_1_0_0_1_2,300,5_6_7_7_1_2,"여러분 TIL 작성하셨나요?"    스파르타 내일 배움 캠프를 시작한 새싹들에게 죽음의 시련이 시작된다  이겨내지 못한다면 TIL의 악귀에게  사로잡히고 마리라          "오늘 TIL 작성 하셨죠?",0
게임 음악의 층 2F,강인 튜터,Yesod,5_3_4_3_4_4_5_6,500,8,흥겨운 음악이 흘러나오는 층. 이따금씩 귀를 기울이면 흥겨운 음악 사이에 사람의 비명소리가 들려온다고 한다. 고통과 공포가 자아낸 소리였으리라.,0
깃 허브의 층 3F,이한별 튜터,Hod,7_8_8_9_8_8_9_10,350,9_10_3,협업의 지옥에서 개발해낸 집념. 무엇보다 많은 코드를 품었지만 무엇보다 많은 코드를 리셋으로 이끌었다. 로컬에서 소실된 코드를 찾는 망령의 그림자로 가득하다.,0
디버그 층 4F,문승현 튜터,Netzach,11_12_13_13_13_14,300,11_12_11_18_13_4,가장 많은 이들이 스러져간 층. 이게 왜 되는거지? 이게 왜 안되는거지? 반복되는 의문의 늪에 빠져들지 않도록 조심. 눈을 크게 뜨고 정신을 집중해야 한다.,0
유니티의 층 5F,진우원 튜터,Tiphereth,15_16_17_20_18_21_19_22_18_20_21_22_17_18_17_22_23,500,14_15_18_17_19_16,가장 거대하고 밝은 층. 모든 층에 에너지를 공급하는 시설이 있으며 주기적으로 박동소리가 울려퍼진다.,0
컴파일러의 층 6F,???,Gebura,24_25_26_27_28,1000,19_18_20_17,쉴새없이 톱니바퀴가 돌아가는 층. 지금은 흔하디 흔한 도구지만 과거 아득한 지식을 가진 능력자들이 인간에게 내려준 은혜라고 불리운다.,1
셰이더 층 7F,이성언 튜터,Chesed,35_36_37_38_39_40_36_36_37_38_39_39_39_40,500,21_22_20,글자와 그림이 허공에 떠다니는 고요한 층. 무의식적으로 굉장히 많이 사용하지만 존재감이 적어서 담당자가 섭섭해한다고 한다.,0
자료구조의 층 8F,김영호 튜터,Binah,41_42_43_43_43_44_44_44_44_45_45_43_43_44_45_44_44,1000,23_24_25,탑의 심장과도 같은 층. 비전공자에게 가장 큰 벽이며 넘어야할 산이다. 탑이 처음 나타났을 땐 아마 1층이었던 것으로 추정된다.,0
알고리즘의 층 9F,엄예찬 튜터,Hokma,46_47_48_50_51_52_47_48_48_52_47_50_50_51_52_47_49_49_48_52_52_52,1000,26_27,개발자의 미덕인 검색을 최대한 자제해야 하는 층. 구글의 유혹에 빠지지 않고 내 스스로 문제를 해결한다면 나의 층으로 만들 수 있다.,0
시니어의 층 10F,박종민 매니저,Keter,53_54_55_56_54_57_58_55_59_60_57_61_62_63_64,2000,28,탑의 관리자라고는 생각할 수 없는 선한 인상의 인물이 있는 층. 하지만 캠을 켜지 않는 사람이 있다면 숨겨진 내면을 드러낸다는 소문이 있다.,1